"Empfänger";"Politikbereich";"Art";"Jahr";"Anschrift";"Geber";"Zuwendungsbereich";"Betrag"
"KUBUS e.V.";"Arbeit";"Projektförderung";"2009";"Pestalozzistraße 5 - 8; 13187 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"""Technikpark"" - Tempelhof-Schöneberg";"49527"
"Verein für ambulante Versorgung Hohenschönhausen e.V.";"Arbeit";"Projektförderung";"2009";"Am Berl 8 / 10; 13051 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Soziokulturelle Arbeit H";"2343"
"BUF - Bildungseinrichtung für berufliche Umschulung und Fortbildung";"Arbeit";"Projektförderung";"2009";"Rigaer Str. 73; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Hausmeisterhelfer/Anleiter Soziale Fahrradwerkstatt/Helferin Kreativwerkstatt/Projektassistentin";"21281"
"LYRA e.V. Verein zur Integration von Aussiedlern und Spätaussiedlern";"Arbeit";"Projektförderung";"2009";"Treskowallee 112; 10318 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Koordinator /-in";"524"
"Berlin macht mit e.V. für soziale Arbeit, soziale Dienstleistungen und Stadtbildpflege";"Arbeit";"Projektförderung";"2009";"Boelckestraße 22; 12101 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Soziale Betreuung";"83052"
"Albatros-Lebensnetz gGmbH";"Arbeit";"Projektförderung";"2009";"Berliner Straße 14; 13507 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Büroorganisation Kieztreff";"6216"
"JAHRESRINGE-Gesellschaft für Arbeit und Bildung e. V.";"Arbeit";"Projektförderung";"2009";"Boxhagener Straße 18; 10245 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Neuköllner Behinderten- und Senioren-Service";"3410"
"Frauen-Technik-Zentrum e.V.";"Arbeit";"Projektförderung";"2009";"Zum Hechtgraben 1; 13051 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Betreuer/in Seniorencomputercafè / Mitarbeiterin Öffentlichkeitsarbeit";"4197"
"Miteinander Wohnen e.V.";"Arbeit";"Projektförderung";"2009";"Volkradstraße 8; 10319 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Prävention bis ins höchste Alter";"1154"
"CABUWAZI Kinder- und Jugendzirkus e.V.";"Arbeit";"Projektförderung";"2009";"Bouchestr. 75; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Zirkus und Jugend";"3253"
"Kunstverein Tiergarten e.V. / Galerie Nord";"Arbeit";"Projektförderung";"2009";"Turmstraße 75; 10551 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Betrieb der Galerie Nord";"8653"
"G.U.T. CONSULT Gesellschaft für Umwelt- u. Territorialplanung mbH";"Arbeit";"Projektförderung";"2009";"Coswiger Str. 8; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Bürgerhilfe Landsberger Allee 2009";"22086"
"pro sozial Verein für ambulante psychosoziale Hilfen e.V.";"Arbeit";"Projektförderung";"2009";"Volkradstraße 4; 10319 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Querbeet im Haus und Hof - alltagsnahe Hilfen für Kinder und Familien in Lichteberg";"909"
"FFGZ Feministisches Frauen Gesundheits Zentrum e.V.";"Arbeit";"Projektförderung";"2009";"Bamberger Str. 51; 10777 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Ausbau Gesundheitsförderung für arbeitslose Frauen";"4987"
"Kiezspinne FAS e. V. Nachbarschaftlicher Interessenverbund e.V.";"Arbeit";"Projektförderung";"2009";"Schulze-Boysen-Straße 38; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Unterstützung der soziokulturellen Arbeit im Nachbarschaftszentrum von Kiezspinne FAS e.V.";"5009"
"Köpenicker SC";"Arbeit";"Projektförderung";"2009";"Wendenschloßstr. 182; 12557 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Sportbetreuung von Kindern und Jugendlichen";"17514"
"Club Dialog e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstr. 176 - 179; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Kulturelle Bildung im multikulturellen Sozialraum Marzahn - Mitte (2)";"9092"
"AGRARBÖRSE Deutschland Ost e.V.";"Arbeit";"Projektförderung";"2009";"Eichenstraße 2; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Naturerleben im Bezirk Lichtenberg";"28657"
"Technischer Jugendbildungsverein in Praxis e.V. (TJP e.V.)";"Arbeit";"Projektförderung";"2009";"An der Wuhlheide 197; 12459 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"METEUM";"7869"
"AGRARBÖRSE Deutschland Ost e.V.";"Arbeit";"Projektförderung";"2009";"Eichenstraße 2; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Unterstützung der bezirklichen Wirtschaftsförderung und Gesundheitswirtschaft";"17328"
"Ausblick e.V.";"Arbeit";"Projektförderung";"2009";"Zum Hechtgraben 1; 13051 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Dienstleistungen für Menschen, die aufgrund ihrer besonderen Situation auf Hilfe angewiesen sind";"10500"
"Club Dialog e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstr. 176 - 179; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Kulturelle Bildung im multikulturellen Sozialraum Marzahn - Mitte (4)";"6120"
"Aussiedler-Integrationshilfe e.V.";"Arbeit";"Projektförderung";"2009";"Oderbruchstraße 10; 10369 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Kinderclub";"5009"
"Miteinander Wohnen e.V.";"Arbeit";"Projektförderung";"2009";"Volkradstraße 8; 10319 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Prävention bis ins höchste Alter -2";"17339"
"Förderverein Lokale Agenda 21 Treptow-Köpenick e.V.";"Arbeit";"Projektförderung";"2009";"Rudower Straße 51; 12557 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Koordinator für die Lokale Agenda 21";"6486"
"Kiezspinne FAS e. V. Nachbarschaftlicher Interessenverbund e.V.";"Arbeit";"Projektförderung";"2009";"Schulze-Boysen-Straße 38; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Unterstützung des soziokulturellen Zentrums Kiezspinne";"5534"
"Together - City-Forum für Jugend, Ausbildung und Beschäftigung e.V.";"Arbeit";"Projektförderung";"2009";"Sophie-Charlotten-Straße 113; 14059 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Hilfe beim Vereins- und Breitensport";"26232"
"BUF - Bildungseinrichtung für berufliche Umschulung und Fortbildung";"Arbeit";"Projektförderung";"2009";"Rigaer Str. 73; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Einsatzleiterin des Sozialcafès";"5246"
"Kietz für Kids e. V.";"Arbeit";"Projektförderung";"2009";"Zum Hechtgraben 1 / 4.OG; 13051 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Koordinator ASP";"5779"
"Berlin-Brandenburger Bildungswerk e.V.";"Arbeit";"Projektförderung";"2009";"Postfach 670216; 10207 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Netzwerkkoordinatorin Lichtenberg für Zeitgeschichte in Bibliotheken";"524"
"Gesellschaft für Arbeitsförderung mbH";"Arbeit";"Projektförderung";"2009";"Herzbergstr. 55; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Bau von Geschichtsmodellen einschließlich Herstellung von Begleitmaterialien";"19134"
"VTP Verein der Technologie Produktivität und Umweltschutz e. V.";"Arbeit";"Projektförderung";"2009";"Bitterfelder Str. 15; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Behindertengerechte Gestaltung der Vereinsarbeit";"9094"
"Caritasverband für das Erzbistum Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Residenzstraße 90; 13409 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"IN VIA Center Berlin";"7344"
"Lichtenberger Kulturverein e.V.";"Arbeit";"Projektförderung";"2009";"Sewanstraße 43; 10319 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Stadtteilarbeit des Sozio-Kulturellen Zentrums Friedrichsfelde-Süd";"7552"
"bbw Akademie für Betriebswirtschaftliche Weiterbildung GmbH";"Arbeit";"Projektförderung";"2009";"Rheinpfalzallee 82; 10318 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Bewohnerbetreuung im Pflegezentrum Haus ""Asta Nielsen""";"14165"
"Bürgerinitiative ausländische MitbürgerInnen e.V.";"Arbeit";"Projektförderung";"2009";"Neustrelitzer Straße 63; 13055 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Integrationsbegleitung - Beratung, Unterstützung, Hilfe zur Selbsthilfe";"3637"
"Malchower Grashüpfer e.V.";"Arbeit";"Projektförderung";"2009";"Malchower Chaussee 2; 13051 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Tierpflegerhelfer auf dem Kinderbauernhof Knirpsenfarm";"5465"
"Verein für ambulante Versorgung Hohenschönhausen e.V.";"Arbeit";"Projektförderung";"2009";"Am Berl 8 / 10; 13051 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Soziokulturelle Arbeit G";"6414"
"IFAD GmbH";"Arbeit";"Projektförderung";"2009";"Bizetstraße 48/50; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Unterstützung im organisatorischen Ablauf einer gemeinnützigen GmbH";"2623"
"BEQUIT mbH";"Arbeit";"Projektförderung";"2009";"Ullsteinstraße 73; 12109 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Mobiler Brillenservice für Bedürftige und Aufarbeitung von Altbrillen";"31530"
"INU Infrastrukturelles Netzwerk Umweltschutz gGmbH";"Arbeit";"Projektförderung";"2009";"Dorfstraße 36; 13057 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Praktische Arbeiten im Umwelterziehungszentrum Falkenberg";"10320"
"BUF - Bildungseinrichtung für berufliche Umschulung und Fortbildung";"Arbeit";"Projektförderung";"2009";"Rigaer Str. 73; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Kinderfreizeitprojekt in den Jugendverkehrsschulen / Kreativwerkstatt / Berliner Adresskalender";"1392"
"INU Infrastrukturelles Netzwerk Umweltschutz gGmbH";"Arbeit";"Projektförderung";"2009";"Dorfstraße 36; 13057 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Umwelthelfer im Umweltzentrum";"5676"
"Humanistischer Verband Deutschlands, Landesverband Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Wallstraße 61 - 65; 10179 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Zusätzlicher Seniorenservice durch Datenaufbereitung in der Koordinierungsstelle ""Rund ums Alter"" des HVD in Neukölln";"1244"
"Albatros-Lebensnetz gGmbH";"Arbeit";"Projektförderung";"2009";"Berliner Straße 14; 13507 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Kieztreff ""Lebensnetz""";"2955"
"Kiezspinne FAS e. V. Nachbarschaftlicher Interessenverbund e.V.";"Arbeit";"Projektförderung";"2009";"Schulze-Boysen-Straße 38; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Unterstützung des soziokulturellen Zentrums Frankfurter Allee Süd";"5779"
"CABUWAZI Kinder- und Jugendzirkus e.V.";"Arbeit";"Projektförderung";"2009";"Bouchestr. 75; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Zirkus und Jugend";"47217"
"Arbeitslosenverband Deutschland, Landesverband Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Siegfriedstraße 204; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Bürger-Kommunikationszentrum Lichtenberg";"4085"
"C.U.B.A. gemeinnützige Qualifizierungsgesellschaft für Umweltschutz und Energieberatung mbH";"Arbeit";"Projektförderung";"2009";"Groß - Berliner Damm 151-153; 12489 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Einsatzstellenleiter";"3393"
"Albatros e.V.";"Arbeit";"Projektförderung";"2009";"Berliner Str. 14; 13507 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Informations-/Auskunftsdienste und Netzwerkarbeit für ältere Menschen";"26232"
"pro sozial Verein für ambulante psychosoziale Hilfen e.V.";"Arbeit";"Projektförderung";"2009";"Volkradstraße 4; 10319 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Querbeet - alltagsnahe Hilfen für Kinder und Familien in Lichtenberg";"4847"
"Club Dialog e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstr. 176 - 179; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Kulturelle Bildung im multikulturellen Sozialraum Marzahn - Mitte (3)";"5554"
"BALL e.V. Betreuung arbeitsloser Leute und Lebenshilfe e.V.";"Arbeit";"Projektförderung";"2009";"Marchwitzastr. 24-26; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Bote, Kraftfahrer im Verantwortungsbereich des SKZ ""Kiezclub Magnet""";"2098"
"ABU Akademie für Berufsbildung und Umschulung gGmbH";"Arbeit";"Projektförderung";"2009";"Beilsteiner Straße 118; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Bildungskoordinator";"2325"
"Miteinander Wohnen e.V.";"Arbeit";"Projektförderung";"2009";"Volkradstraße 8; 10319 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Prävention bis ins höchste Alter";"1573"
"Hestia e.V. 3. Autonomes Frauenhaus";"Arbeit";"Projektförderung";"2009";"PF 700236; 10322 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Begleitung und Unterstützung von gewaltbetroffenen Frauen und Kindern";"6144"
"bbw Akademie für Betriebswirtschaftliche Weiterbildung GmbH";"Arbeit";"Projektförderung";"2009";"Rheinpfalzallee 82; 10318 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Arbeit und Integration für russischsprachige Akademiker/-innen mit Migrationshintergrund";"8171"
"Kulturring in Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Giselastraße 12; 10317 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Projektmanagerin für Orts- und Lokalgeschichte Lichtenberg";"524"
"Die Kappe e.V.";"Arbeit";"Projektförderung";"2009";"Hauptstraße 4; 10317 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"MiniMax - Unterstützung bei Kinderbetreuung und Gewinnung von Spielplatzpaten in Berlin-Lichtenberg";"519"
"Ratz-Fatz e.V.";"Arbeit";"Projektförderung";"2009";"Schnellerstr. 81; 12439 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Förderung künstlerisch-kultureller Projekte";"535"
"Berlin-Brandenburger Bildungswerk e.V.";"Arbeit";"Projektförderung";"2009";"Postfach 670216; 10207 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Technische Koordination Bürgerradio Stralau-Lichtenberg: Bürger senden für Bürger";"4144"
"Babel e.V.";"Arbeit";"Projektförderung";"2009";"Klausdorfer Str. 8; 12629 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Interkulturelles Zentrum Haus Babylon";"10492"
"Miteinander Wohnen e.V.";"Arbeit";"Projektförderung";"2009";"Volkradstraße 8; 10319 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Prävention bis ins hohe Alter 5";"2623"
"tandem BQG";"Arbeit";"Projektförderung";"2009";"Bülowstraße 90; 10783 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Büroservicekräfte";"3182"
"Together - City-Forum für Jugend, Ausbildung und Beschäftigung e.V.";"Arbeit";"Projektförderung";"2009";"Sophie-Charlotten-Straße 113; 14059 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Schulbibliotheken";"10492"
"bbw Berufsvorbereitungs- und Ausbildungsgesellschaft mbH";"Arbeit";"Projektförderung";"2009";"Geneststr. 5 - 6; 10829 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Pflegedienst";"68796"
"tandem BQG";"Arbeit";"Projektförderung";"2009";"Bülowstraße 90; 10783 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Alltagshilfe und Begleitservice für Senioren im Bezirk Neukölln";"14689"
"Sprechende Hände Berlin/Brandenburg e.V.";"Arbeit";"Projektförderung";"2009";"Torstraße 23; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Barrierefrei Leben";"9989"
"Ghost e. V.";"Arbeit";"Projektförderung";"2009";"Friedenstraße 15; 12489 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Betreuerin Nachbarschaftstreff des Ghost e.V.";"5933"
"Diakonisches Werk Neukölln-Oberspree e.V.";"Arbeit";"Projektförderung";"2009";"Morusstraße 18 A; 12053 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Unterstützung der Stadtteilmütterarbeit bei der Integration von Migranten in den Quartiersgebieten Neuköllns";"12000"
"Kunstfabrik Köpenick GmbH";"Arbeit";"Projektförderung";"2009";"Friedrichshagener Str. 9; 12555 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Unterstützung kultureller Angebote - Kunst und Kultur für Treptow-Köpenick";"4340"
"G.U.T. CONSULT Gesellschaft für Umwelt- u. Territorialplanung mbH";"Arbeit";"Projektförderung";"2009";"Coswiger Str. 8; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Landschaftsarbeiten in Marzahn-Hellersdorf";"10400"
"Türkischer Elternverein in Berlin-Brandenburg e.V.";"Arbeit";"Projektförderung";"2009";"Oranienstraße 34; 10999 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Bürohilfe";"6326"
"Freunde der Sonnen-Grundschule Berlin-Neukölln e.V.";"Arbeit";"Projektförderung";"2009";"Nogartstraße 21 / 22; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Allgemeiner praktischer Helfer";"5336"
"Kulturnetzwerk Neukölln e.V.";"Arbeit";"Projektförderung";"2009";"Karl-Marx-Str. 131; 12043 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Kulturtheater Neukölln";"113411"
"QEU Qualifizierungsgesellschaft Energie- und Umwelttechnik mbH";"Arbeit";"Projektförderung";"2009";"Herzbergstr. 33 / 34; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Office Assistentin / Kundenbetreuer";"1049"
"Kinderring Berlin e.V";"Arbeit";"Projektförderung";"2009";"Schwedter Str. 232-234; 10435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"ABM (Struktur) - Medienpädagogische Arbeit im Kinderkeller und Hochhauscafé Marzahn";"4418"
"Berlin-Brandenburger Bildungswerk e.V.";"Arbeit";"Projektförderung";"2009";"Postfach 670216; 10207 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Lohnbuchhaltung mit Lexware";"10670"
"ABT gGmbH Arbeitsförderungs- und Bildungszentrum in Treptow";"Arbeit";"Projektförderung";"2009";"Karl-Kunger-Straße 68; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Computergrafik und Webseitengestaltung (PC-Anwendung für Fortgeschrittene 2)";"12972"
"Duden Paetec GmbH Wirtschaftsakademie";"Arbeit";"Projektförderung";"2009";"Bouchéstr. 12; 12435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Deutsch im Beruf mit PC-Anteil (MAE)";"8400"
"Fortbildung-Umschulung-Beratung Gesellschaft mbH";"Arbeit";"Projektförderung";"2009";"Besselstr. 13; 10969 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Gerontologie / Demenzbegleitung";"9400"
"SYSTEM-DATA Personal Service GmbH";"Arbeit";"Projektförderung";"2009";"Georgenstraße 35; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Englisch - Aufbaukurs";"720"
"Berliner Qualifizierungs-Management GmbH";"Arbeit";"Projektförderung";"2009";"Wolfener Str. 32-34 / Aufgang L 3. OG; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Verkaufstraining mit Kassenpass";"11370"
"Bildungszentrum für Technik und Bauwesen";"Arbeit";"Projektförderung";"2009";"Straßburger Str. 6-9; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"EDV - kompakt";"10728"
"SYSTEM-DATA Personal Service GmbH";"Arbeit";"Projektförderung";"2009";"Georgenstraße 35; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"PC Kompetenz I";"7200"
"SYSTEM-DATA Personal Service GmbH";"Arbeit";"Projektförderung";"2009";"Georgenstraße 35; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Spanisch Grundkurs";"720"
"Berliner Qualifizierungs-Management GmbH";"Arbeit";"Projektförderung";"2009";"Wolfener Str. 32-34 / Aufgang L 3. OG; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"EDV für Anfänger (MAE)";"5420"
"SYSTEM-DATA Personal Service GmbH";"Arbeit";"Projektförderung";"2009";"Georgenstraße 35; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Webmaster/Datenbankadministration";"7200"
"Berlin-Brandenburger Bildungswerk e.V.";"Arbeit";"Projektförderung";"2009";"Postfach 670216; 10207 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Grafik mit Adobe Photoshop, InDesign und Illustrator";"1242"
"TUH Türkischer Unternehmer und Handwerker e.V. Berlin";"Arbeit";"Projektförderung";"2009";"Rollbergstraße 70; 12053 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Alten- und Krankenpflege-Basiskurs";"781"
"FSB Förderverein Soziales und Bildung e.V.";"Arbeit";"Projektförderung";"2009";"Wartenberger Straße 24; 13053 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Behindertenbetreuer Be 5";"715"
"a&d GmbH, analoges & digitales Schulungszentrum";"Arbeit";"Projektförderung";"2009";"Landsberger Allee 467 B; 12679 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Modulare Weiterbildung im Garten- und Landschaftsbau 12";"12844"
"AFW Akademie für Führungskräftefortbildung der Wirtschaft GmbH - gemeinnützig-";"Arbeit";"Projektförderung";"2009";"Allee der Kosmonauten 35; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Security Training (IHK) für Teilnehmende in Zusatzjobs";"12500"
"AFW Akademie für Führungskräftefortbildung der Wirtschaft GmbH - gemeinnützig-";"Arbeit";"Projektförderung";"2009";"Allee der Kosmonauten 35; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Basisqualifizierung Pflegehelfer";"11328"
"bbw Berufsvorbereitungs- und Ausbildungsgesellschaft mbH";"Arbeit";"Projektförderung";"2009";"Geneststr. 5 - 6; 10829 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"PC-Kurs zur Vorbereitung auf dasECDL-Startzertifikat";"364"
"Aussiedler-Integrationshilfe e.V.";"Arbeit";"Projektförderung";"2009";"Oderbruchstraße 10; 10369 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Serviceleistungen Senioren / Kinder";"2694"
"ComFort-GmbH";"Arbeit";"Projektförderung";"2009";"Erich-Weinert-Str. 145; 10409 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Vorbereitung auf Schulabschlüsse und Berufsorientierung (MAE_02 Gr.I)";"33548"
"SYSTEM-DATA Personal Service GmbH";"Arbeit";"Projektförderung";"2009";"Georgenstraße 35; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Linux Grundlagen";"720"
"ABU Akademie für Berufsbildung und Umschulung gGmbH";"Arbeit";"Projektförderung";"2009";"Beilsteiner Straße 118; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Grundlagen Flurförderzeugausbildung (Gabelstaplerpass)";"150"
"dbi projekt und service gGmbH";"Arbeit";"Projektförderung";"2009";"Charlottenst. 13; 10969 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Verkaufs- und Kassentraining";"538"
"SYSTEM-DATA Personal Service GmbH";"Arbeit";"Projektförderung";"2009";"Georgenstraße 35; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Business English Level I";"7200"
"bbw Bildungswerk der Wirtschaft in Berlin und Brandenburg e.V.";"Arbeit";"Projektförderung";"2009";"Am Schillertheater 2; 10625 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Verkaufstraining mit Kassenpass";"458"
"GFS Fachschule für Steuern, Recht und Wirtschaft GmbH";"Arbeit";"Projektförderung";"2009";"Ullsteinstraße 114-142; 12109 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Betreuungskraft im Rahmen des §87b, SGB XI";"10969"
"Bildungszentrum für Technik und Bauwesen";"Arbeit";"Projektförderung";"2009";"Straßburger Str. 6-9; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"EDV-kompakt 06-08";"15019"
"SYSTEM-DATA Personal Service GmbH";"Arbeit";"Projektförderung";"2009";"Georgenstraße 35; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Englisch Aufbaukurs";"720"
"SYSTEM-DATA Personal Service GmbH";"Arbeit";"Projektförderung";"2009";"Georgenstraße 35; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Quali Zusatzjobs - Photoshop Adobe 2009";"7200"
"SYSTEM-DATA Personal Service GmbH";"Arbeit";"Projektförderung";"2009";"Georgenstraße 35; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Webmaster / Webseitenentwicklung";"7200"
"KOMBI Consult GmbH";"Arbeit";"Projektförderung";"2009";"Glogauer Straße 2; 10999 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Englisch für das Büro";"4387"
"Bildungszentrum für Technik und Bauwesen";"Arbeit";"Projektförderung";"2009";"Straßburger Str. 6-9; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Fachkraft für Gebäudetechnik und Hausmeisterdienste";"750"
"Bildungsinstitut Brückner";"Arbeit";"Projektförderung";"2009";"Landsberger Allee 467 B; 12679 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Vorbereitung IHK-Sachkundeprüfung gem. § 34a GewO";"14000"
"ABU Akademie für Berufsbildung und Umschulung gGmbH";"Arbeit";"Projektförderung";"2009";"Beilsteiner Straße 118; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Kassenpass / Verkaufstraining Kurs 2";"693"
"bbw Berufsvorbereitungs- und Ausbildungsgesellschaft mbH";"Arbeit";"Projektförderung";"2009";"Geneststr. 5 - 6; 10829 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"PC Kurs mit ECDL Abschluss";"9815"
"QEU Qualifizierungsgesellschaft Energie- und Umwelttechnik mbH";"Arbeit";"Projektförderung";"2009";"Herzbergstr. 33 / 34; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Hausmeisterdienste / Gebäudemanagement";"5310"
"Berliner Qualifizierungs-Management GmbH";"Arbeit";"Projektförderung";"2009";"Wolfener Str. 32-34 / Aufgang L 3. OG; 12681 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"Verkaufstraining im Einzelhandel mit Kassenpass (MAE)";"4985"
